package_name,installed_version,architecture,latest_version
gir1.2-gweather-3.0,3.20.2-1,amd64,3.20.4-1
gir1.2-ibus-1.0,1.5.11-1,amd64,1.5.14-2
gir1.2-javascriptcoregtk-3.0,2.4.11-2+b2,amd64,2.4.11-3
gir1.2-javascriptcoregtk-4.0,2.12.4-2,amd64,2.14.3-1
gir1.2-mutter-3.0,3.20.3-2,amd64,3.22.2-3
gir1.2-networkmanager-1.0,1.2.4-2kali1,amd64,1.6.0-1
gir1.2-nmgtk-1.0,1.2.4-1,amd64,1.4.4-1
gir1.2-notify-0.7,0.7.6-2,amd64,0.7.7-1
gir1.2-packagekitglib-1.0,1.1.1-1,amd64,1.1.5-1
gir1.2-pango-1.0,1.40.1-1,amd64,1.40.3-3
gir1.2-peas-1.0,1.18.0-3,amd64,1.20.0-1
gir1.2-polkit-1.0,0.105-16,amd64,0.105-17
gir1.2-soup-2.4,2.54.1-1,amd64,2.56.0-2
gir1.2-telepathylogger-0.2,0.8.2-1,amd64,0.8.2-2
gir1.2-totem-1.0,3.20.1-3,amd64,3.22.0-2+b1
gir1.2-totem-plparser-1.0,3.10.6-4,amd64,3.10.7-1
gir1.2-upowerglib-1.0,0.99.4-3,amd64,0.99.4-4
gir1.2-webkit-3.0,2.4.11-2+b2,amd64,2.4.11-3
gir1.2-webkit2-4.0,2.12.4-2,amd64,2.14.3-1
gir1.2-wnck-3.0,3.20.1-1,amd64,3.20.1-3
gir1.2-xkl-1.0,5.4-1,amd64,5.4-2
git,1:2.11.0-1,amd64,1:2.11.0-2
git-man,1:2.11.0-1,all,1:2.11.0-2
gjs,1.45.4-1,amd64,1.46.0-1+b1
gkbd-capplet,3.6.0-1,amd64,3.22.0.1-1
glib-networking,2.48.2-1,amd64,2.50.0-1
glib-networking-common,2.48.2-1,all,2.50.0-1
glib-networking-services,2.48.2-1,amd64,2.50.0-1
gnat-mingw-w64,6.1.1-12+19.1,all,6.2.1-7+19.3
gnat-mingw-w64-base,6.1.1-12+19.1,amd64,6.2.1-7+19.3
gnat-mingw-w64-i686,6.1.1-12+19.1,amd64,6.2.1-7+19.3
gnat-mingw-w64-x86-64,6.1.1-12+19.1,amd64,6.2.1-7+19.3
gnome-accessibility-themes,3.20.2-3,all,3.22.2-1
gnome-backgrounds,3.20-1,all,3.22.1-1
gnome-calculator,3.20.2-2,amd64,3.22.2-1
gnome-characters,3.20.1-1,amd64,3.22.0-1
gnome-contacts,3.20.0-1,amd64,3.22.1-1+b1
gnome-control-center,1:3.20.1-2,amd64,1:3.22.1-2kali1
gnome-control-center-data,1:3.20.1-2,all,1:3.22.1-2kali1
gnome-core,1:3.20+1,amd64,1:3.20+3
gnome-desktop3-data,3.20.2-1,all,3.22.2-1
gnome-dictionary,3.20.0-2,amd64,3.20.0-3
gnome-disk-utility,3.20.2-1,amd64,3.22.1-1
gnome-font-viewer,3.20.2-1,amd64,3.22.0-1
gnome-keyring,3.20.0-1,amd64,3.20.0-3
gnome-online-accounts,3.20.3-1,amd64,3.22.4-1
gnome-online-miners,3.20.0-2,amd64,3.22.0-1
gnome-orca,3.20.2-1,all,3.22.2-2
gnome-packagekit,3.18.0-1,amd64,3.22.1-2
gnome-packagekit-data,3.18.0-1,all,3.22.1-2
gnome-packagekit-session,3.20.2-2,all,3.22.5-1
gnome-screenshot,3.20.1-1,amd64,3.22.0-1
gnome-session,3.20.2-1,all,3.22.2-2
gnome-session-bin,3.20.2-1,amd64,3.22.2-2
gnome-session-common,3.20.2-1,all,3.22.2-2
gnome-settings-daemon,3.20.1-2,amd64,3.22.1-1
gnome-shell,3.20.3-1+b1,amd64,3.22.2-4
gnome-shell-common,3.20.3-1,all,3.22.2-4
gnome-shell-extension-dashtodock,53-0kali1,all,55-4
gnome-shell-extension-easyscreencast,0.9.8.3-0kali1,all,0.9.8.3-0kali2
gnome-shell-extension-proxyswitcher,1.2-0kali1,all,1.2-0kali2
gnome-shell-extension-refreshwifi,5+git20160325-0kali1,all,6.0-1
gnome-shell-extension-workspacestodock,36-0kali1,all,40-0kali1
gnome-shell-extensions,3.20.1-1kali1,all,3.22.2-1kali1
gnome-software,3.20.2-2,amd64,3.22.5-1
gnome-software-common,3.20.2-2,all,3.22.5-1
gnome-sushi,3.20.0-1,amd64,3.21.91-2
gnome-system-monitor,3.20.1-1,amd64,3.22.2-1
gnome-terminal,3.20.2-4kali1,amd64,3.22.1-1kali1
gnome-terminal-data,3.20.2-4kali1,all,3.22.1-1kali1
gnome-theme-kali,2016.2.0,all,2016.3.2
gnome-themes-standard,3.20.2-3,amd64,3.22.2-1
gnome-themes-standard-data,3.20.2-3,all,3.22.2-1
gnome-tweak-tool,3.20.1-1,all,3.22.0-1
gnome-user-guide,3.20.2-1,all,3.22.0-1
gnome-user-share,3.18.1-1,amd64,3.18.3-1
gnupg,1.4.20-6,amd64,2.1.18-3
gnupg-agent,2.1.11-7,amd64,2.1.18-3
gnupg2,2.1.11-7,amd64,2.1.18-3
